Id_station,Id_omm,Nom_usuel,Latitude,Longitude,Altitude,Date_ouverture,Pack
23069002,,CROCQ,45.867167,2.362167,710,1950-12-01,ETENDU
23075001,,DUN LE PALESTEL,46.317833,1.666833,365,1860-01-01,ETENDU
23079002,,FELLETIN,45.880167,2.186,635,1995-07-01,RADOME
23089001,,GENOUILLAC,46.352333,1.985,306,1955-04-01,RADOME
23090003,,GENTIOUX,45.785,1.997333,794,1880-01-01,ETENDU
23113001,,LUPERSAT_SAPC,45.9865,2.393167,610,2004-01-01,ETENDU
23155001,,PONTARION_SAPC,45.995667,1.852833,455,1860-01-01,ETENDU
23176001,,LA SOUTERRAINE,46.2425,1.451833,370,1880-05-01,RADOME
23206002,7361.0,GUERET-ST LAURENT,46.1755,1.950333,365,2011-05-09,RADOME
23209001,,SAINT-LOUP_SAPC,46.140667,2.2645,440,2013-10-01,ETENDU
24035003,,BELVES,44.782667,0.956,238,1988-04-01,RADOME
24037005,7530.0,BERGERAC,44.822833,0.524167,49,1988-03-01,RADOME
24064001,,BRANTOME,45.356833,0.645833,129,1965-08-01,ETENDU
24138004,,COULOUNIEIX,45.1595,0.676667,217,2004-10-01,RADOME
24152001,,DOMME,44.798333,1.219667,165,1969-12-01,ETENDU
24172001,,LES EYZIES DE TAYAC,44.935167,1.0195,73,1967-11-01,ETENDU
24226001,,LAMOTHE MONTRAV,44.837333,0.041167,9,1958-01-01,ETENDU
24280001,,MONPAZIER,44.684,0.891667,199,1965-08-01,ETENDU
24291001,,MONTIGNAC,45.052167,1.147333,77,1956-04-01,ETENDU
24452001,,ST MARTIAL VIVEYROLS,45.357833,0.319333,166,1987-07-01,RADOME
24453001,,ST MARTIN  DE FRESSENGEAS,45.4755,0.848333,277,2006-02-24,RADOME
24516002,,SALIGNAC-EYVIGUES,44.936667,1.364667,276,2004-09-01,RADOME
24547002,,TERRASSON-LAVILLEDIEU,45.1355,1.2925,90,1960-01-01,ETENDU
24550003,,THENON,45.112667,1.0385,265,2006-02-23,RADOME
25021001,,ARC-ET-SENANS,47.0315,5.782,235,1900-01-01,ETENDU
25047001,,BAUME-LES-DAMES,47.347167,6.350333,267,1943-01-01,ETENDU
25056001,7288.0,BESANCON,47.249,5.988833,307,1884-12-01,RADOME
25087002,,BRANNE_SAPC,47.378,6.472167,287,2008-01-15,ETENDU
25127001,,CHARQUEMONT,47.218833,6.815,884,1943-12-01,ETENDU
25219002,,EPENOY,47.127167,6.366333,752,1992-12-01,RADOME
25222001,,ETALANS_SAPC,47.1525,6.210167,540,2020-02-20,ETENDU
25223002,,COULANS,47.023333,6.0205,468,2006-12-01,RADOME
